Диаметр долота, Описание
295.3, Долото_295.3; ВЗД_ДРУ5-174РС; Переводник_П-133/171; УБТ_УБТ-БС-178-71; Бурильные трубы_СБТ-127х9.19 IEU S-135;
215.9, Долото_215.9; ВЗД_ДРУ5-174РС; Переводник_П-133/171; УБТ_УБТ-БС-178-71; Бурильные трубы_СБТ-127х9.19 IEU S-135;
190.5, Долото_190.5; ВЗД_ДРУ5-174РС; Переводник_П-133/171; УБТ_УБТ-БС-178-71; Бурильные трубы_СБТ-127х9.19 IEU S-135;
