Обозначение, Диаметр внутренний(мм), Диаметр наружний(мм), Диаметр максимальный(мм), Тип резьбы, Резьба низ, Тип резьбы вверх,Резьба вверх, Длина(м), Вес(кг)
Д-195РС, 50, 195, 195, Ниппель, З-117, Муфта, З-147, 8.07, 1359
ДРУ2-195РС, 50, 195, 195, Ниппель, З-117, Муфта, З-147, 7.4, 1364
ДРУ5-174РС, 50, 172, 172, Ниппель, З-117, Муфта, З-133, 7.26, 1127
