Обозначение, Диаметр внутренний(мм), Диаметр наружний(мм), Диаметр максимальный(мм), Тип резьбы, Резьба низ, Тип резьбы вверх,Резьба вверх, Длина(м), Вес(кг)
10КЛС-213-СТ-00, 73.5, 172.5, 213, Ниппель, З-133, Муфта, З-133, 1.65, 240
50КЛС-215.9-СТ-00, 71.4, 178, 215.9, Ниппель, З-133, Муфта, З-133, 1.65, 256.22
18КЛС-292-СТ-00, 80, 203, 292, Ниппель, З-171, Муфта, З-171, 1.65, 370
ЦЛС-393.7В, 89, 250, 393.7, Ниппель, З-152, Муфта, З-163, 1.212, 
