Обозначение, Диаметр внутренний(мм), Диаметр наружний(мм), Диаметр максимальный(мм), Тип резьбы, Резьба низ, Тип резьбы вверх,Резьба вверх, Длина(м), Вес(кг)
Телеметрия TeleScope 825NF, 129.8, 208, 212, Муфта, З-171, Муфта, З-171, 7.5, 1600
Телеметрия TeleScope 675NF, 129.8, 171, 171, Ниппель, З-147, Муфта, З-147, 7.5, 1000
Телеметрия IMPulse 20K, 57, 122, 134, Ниппель, З-105, Муфта, З-105, 8, 700
